location,pages,traffic
texas/dallas,26,319.0
georgia/atlanta,45,203.0
florida,27,134.0
new-jersey,30,125.0
texas/houston,16,112.0
new-york,24,102.0
connecticut,14,91.0
california/los-angeles,12,86.0
utah,19,84.0
pennsylvania,14,70.0
florida/miami,10,69.0
michigan,24,61.0
california,15,61.0
new-york/new-york-city,12,55.0
maryland,13,54.0
tennessee/nashville,15,54.0
florida/orlando,8,53.0
washington-dc,18,50.0
colorado/denver,14,50.0
ohio,9,47.0
north-carolina/raleigh,11,40.0
illinois/chicago,14,39.0
pennsylvania/pittsburgh,15,38.0
florida/tampa,9,37.0
florida/melbourne-fl,10,32.0
texas,5,31.0
oregon/portland,8,26.0
georgia/roswell,3,24.0
north-carolina,8,23.0
kansas/overland-park,3,22.0
california/orange-county,5,19.0
maine,5,19.0
minnesota/minneapolis,8,19.0
arizona,5,19.0
illinois/naperville,4,17.0
north-carolina/charlotte,3,16.0
rhode-island,6,15.0
massachusetts/boston,5,15.0
ohio/cleveland,5,14.0
california/san-diego,6,14.0
hawaii,3,14.0
nevada/las-vegas,3,12.0
ohio/columbus,3,12.0
indiana,1,11.0
california/santa-rosa,2,10.0
colorado,4,10.0
oklahoma/tulsa,5,10.0
new-york/rochester,3,10.0
texas/fort-worth,2,10.0
louisiana,1,9.0
texas/san-antonio,2,9.0
nebraska/omaha,1,9.0
nebraska,1,7.0
michigan/detroit,4,7.0
california/sacramento,2,7.0
california/santa-barbara,1,7.0
delaware,2,7.0
tennessee,3,6.0
south-carolina/greenville,3,6.0
hawaii/honolulu,2,6.0
virginia,2,6.0
pennsylvania/philadelphia,2,6.0
north-carolina/wilmington,2,5.0
california/san-jose,1,5.0
missouri/kansas-city,3,5.0
illinois,2,5.0
washington,2,4.0
texas/austin,2,4.0
arkansas,2,4.0
wisconsin/milwaukee,2,4.0
virginia/arlington,2,4.0
alaska/anchorage,1,4.0
minnesota,1,3.0
montana,1,3.0
washington/tacoma,1,3.0
california/san-francisco,1,3.0
alaska,1,2.0
washington-dc/washington-dcc,1,2.0
tennessee/chattanooga,1,2.0
wisconsin/madison,1,2.0
colorado/colorado-springs,1,2.0
utah/provo,1,2.0
nebraska/lincoln,1,2.0
missouri/st-louis,2,2.0
tennessee/memphis,1,2.0
washington/seattle,1,2.0
georgia,1,2.0
massachusetts,1,2.0
florida/clearwater,1,2.0
maryland/rockville,1,2.0
virginia/richmond,2,2.0
wisconsin,1,2.0
indiana/indianapolis,1,2.0
florida/jacksonville,1,1.0
